brand,title,price,url,review_title,review_text,review_rating,review_date,overall_rating
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256/dp/B0CHWZZM9M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-1,Really happy,"Upgraded from an iPhone 13 Pro Max. Normally get a contract but thought I’d just buy the phone off Amazon and then get a 12 month contract. Works great and really good camera. No faults at all.Taken a while to be delivered as I think the first one got stolen in an Amazon depot
",5,09-Apr-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256/dp/B0CHWZZM9M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-1,"IMO, the best premium mobile phone by far...","I'n a huge Apple fan with numerous Apple devices in the house; but a huge fan of Android too (Google Pixel 4XL still and recently a Pixel Fold).My main driver will always be an iPhone due to having the AWU also; but now that 15PM is on USB C it means if I need a cable to charge, I've a plethora of them. No idea where my lightning cables are...!The device in its new titanium finish is superb (I've gone for blue and glad I did over black or 'natural'); the camera / picture quality is superb and overall it's fast, slick and the battery life is excellent alsoI sold my 14PM for £900 on eBay; this cost me a few £hundred to upgrade. Well worth it...
",5,20-Feb-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256/dp/B0CHWZZM9M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-1,"Quick,Great camera","Wife loves it obviously….
",5,21-Apr-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256/dp/B0CHWZZM9M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-1,Nice design,"The media could not be loaded.
                



 Maybe i shouldn't say this here,but Samsung it is ""my heart"" and nr 1 for me.I am not an apple user and not a big fun of it.Since iphone 14 Pro Max apple has start to take my attention about design.With the relase of iphone 15 Pro Max,apple""catch""me with a more impressed design and a ""luxury""phone provided withe the titanium frame.Bit more thiny than 14pm,eazy to hold and good grip,no finger prints.Whats confuse me and makes me difficult to understand both phone14pm and 15pm have same screen,but the 15pm will leave the impression that it is a bit smaller than his brothet14pm.The price?well..for 1T.=£1599...it is up to me....a bit  expensive but i need it.Camera?hmmm...not very well impressed,but from 1 to 10 i give 8.I still have to discover many things on it.Battery?looks good...standard use can last 3 even 4days in my case...just using as a phone for sms and calls.With intense use can last 24h without problem(i tested)Medium use,last for me 2 full days and on 2nd day around 11:20pm it was stil 32% battery.
",5,04-Mar-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256/dp/B0CHWZZM9M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-1,The screen freezes and I charge the battery every day.,"I bought an IPhone 15 pro max in December. The phone after 1 month started with different problems, the battery durability is just one day and I need charge every day, the screen sometimes its freezes and the unique solution is return the phone, but I asking about the guarantee, where is the guarantee? Because in my case I need a phone, just I want the replacement because the phone started with different problems. Sincerely I am so disappointed with Amazon and this service, if you can’t give to Apple customers great service, please don’t seller products from Apple. I will go to an official Apple Store and send the phone to they see everything for me. Because Amazon only accept the return to give a refund. They don’t have Iphones to replacement and the client in this case is a complete idiot.Update: Firstly, after many times contacting Amazon I tried to return the product, but they classified it as non-returnable. Why? I don’t know because the window return was to 31 January and I tried return before its day.Secondly, I went to the Apple Store and a technician saw everything on the phone. The phone camera has an internal issue, and the phone has problem with battery, and screen frezes too. Sometimes half screen is in black, sometimes freezes. Now I have a phone that doesn't work correctly and Amazon customer service doesn't want to accept the return or a replacement. Honestly this is so crazy because I bought it with many illusion and now that’s the great support that Amazon gives for me. Of course I will look about my rights because I will not be with a factory defected phone.Thirdly, I have an email from Apple Store, where they say exactly issues the phone has. I want a simple replacement or return this product. I don’t understand why is it so complicating and frustrating for me.
",1,20-Jan-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256/dp/B0CHWZZM9M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-1,Fabulous!,"Just love it!  Looks great and feels quality…and relatively easy to use and set up.Typical iPhone brilliance! It’s expensive but you get what you pay for. I would definitely recommend.
",5,18-Mar-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256/dp/B0CHWZZM9M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-1,Just does everything,"Brilliant phone everything about it is great.
",5,26-Mar-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256/dp/B0CHWZZM9M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-1,Great phone,"I had to reorder this phone on Apple.com since it did not arrive however the phone is remarkable especially since I upgraded from an phone Xs
",5,29-Apr-24,4.5
Apple,Apple iPhone 15 (128 GB) - Black,,https://www.amazon.co.uk/Apple-iPhone-15-128-GB/dp/B0CHXFCYCR/ref=sr_1_2?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-2,It’s Apple so you expect the best,"Yes the camera is better than my IPhone 10 Max . Battery life is also better… It's everything I would expect from Apple. So far so good after one month of use…
",5,17-Apr-24,4.5
Apple,Apple iPhone 15 (128 GB) - Black,,https://www.amazon.co.uk/Apple-iPhone-15-128-GB/dp/B0CHXFCYCR/ref=sr_1_2?dib=eyJ2IjoiMSJ9.00tPPdF1fbTxETpT1SvTQzxeSUSswZCXZE_YqAKQlC-DXFOaIs23WF98hodsd5FhU8o4RPmDgscccnVcjaEiTvsMPUs51K__nTOG--UDebs4OWd5FtUkIP4MjvCQYflgh4RyqQge3XqvVIBRttuX0Xm2WZOTC6WGitpsN1vI7bkDozfY4ADQc4rFlUkoaoPhN3EASyZtj-EoKPk331QCg-5gO1VjHEt7vmpYHZZsDj7O-Isw_QAoXBqkDjHLyAzmOe3byK6bHOMTF6_HibltTO7f_-EtNVl49Hv6iurcXhQ.2T1nN27WxAcrES1X2-M9krGV38Nk95oC3woEirlN3LQ&dib_tag=se&qid=1714768794&refinements=p_89%3AApple&rnid=1632651031&s=telephone&sr=1-2,Good phone,"I love this phone
",5,08-Apr-24,4.5
